'SMITH',1,2376206,880.85
'JOHNSON',2,1857160,688.44
'WILLIAMS',3,1534042,568.66
'BROWN',4,1380145,511.62
'JONES',5,1362755,505.17
'MILLER',6,1127803,418.07
'DAVIS',7,1072335,397.51
'GARCIA',8,858289,318.17
'RODRIGUEZ',9,804240,298.13
'WILSON',10,783051,290.27
'MARTINEZ',11,775072,287.32
'ANDERSON',12,762394,282.62
'TAYLOR',13,720370,267.04
'THOMAS',14,710696,263.45
'HERNANDEZ',15,706372,261.85
'MOORE',16,698671,259
'MARTIN',17,672711,249.37
'JACKSON',18,666125,246.93
'THOMPSON',19,644368,238.87
'WHITE',20,639515,237.07
'LOPEZ',21,621536,230.4
'LEE',22,605860,224.59
'GONZALEZ',23,597718,221.57
'HARRIS',24,593542,220.02
'CLARK',25,548369,203.28
'LEWIS',26,509930,189.03
'ROBINSON',27,503028,186.47
'WALKER',28,501307,185.83
'PEREZ',29,488521,181.09
'HALL',30,473568,175.55
'YOUNG',31,465948,172.73
'ALLEN',32,463368,171.77
'SANCHEZ',33,441242,163.57
'WRIGHT',34,440367,163.24
'KING',35,438986,162.73
'SCOTT',36,420091,155.73
'GREEN',37,413477,153.27
'BAKER',38,413351,153.23
'ADAMS',39,413086,153.13
'NELSON',40,412236,152.81
'HILL',41,411770,152.64
'RAMIREZ',42,388987,144.2
'CAMPBELL',43,371953,137.88
'MITCHELL',44,367433,136.21
'ROBERTS',45,366215,135.75
'CARTER',46,362548,134.4
'PHILLIPS',47,351848,130.43
'EVANS',48,342237,126.87
'TURNER',49,335663,124.43
'TORRES',50,325169,120.54
'PARKER',51,324246,120.2
'COLLINS',52,317848,117.83
'EDWARDS',53,317070,117.54
'STEWART',54,312899,115.99
'FLORES',55,312615,115.89
'MORRIS',56,311754,115.57
'NGUYEN',57,310125,114.96
'MURPHY',58,300501,111.39
'RIVERA',59,299463,111.01
'COOK',60,294795,109.28
'ROGERS',61,294403,109.13
'MORGAN',62,276400,102.46
'PETERSON',63,275041,101.96
